place_id,canonical_name,wikidata_id,variants, x(N) coords, y(W) coords, modern country, notes
l060,Reykir í Tungusveit,,Reykir í Tungusveit,,,,Dálkr's property
l061,Reykjastaðir,,Reykjastaðir,,,,associated with witness Bjarni; farm near Reynisnes (Skagafjörður)
l062,Reynistaður,Q10651603,Reynistaður; Reynistaðr; Reynistaðir; Reynistaðarklaustur,,,,nunnery inSkagafjörður Iceland
l063,Risamýri,,
l064,Sandsekk/Sandzsik,,
l066,Saurbær,,Saurbær;"Saubaer Eyjafjörðr",,,, (property being sold); 
l067,Selshagi,,
l068,Skagafjörður,Q1549436,Skagafjörður,,,,district (tax collection); Skagafjörður (district where these properties are located)
l069,Skað í Hnjóskadal,,Skað í Hnjóskadal,,,, (farm; location of payment)
l070,Skálholt,Q831538,Skálholt Cathedral,64.12533295,-20.52489176,Iceland, the physical location of the cathedral
l000,Skálholt,Q876603,Skálholt; Skálholt diocese,,,Iceland, the bishopric and its See (not the [physical] location) 
l071,Skálholtsstaður,,Skálholtsstaður,,,, a farm belonging to Skálholt
l072,Skíðastaðir,,Skíðastaðir,,,,place where Eiríkr bóndi lives
l073,Spákonufell,,Spákonufell,,,,the property being purchased
l074,Svarta,,Svarta,,,,boundary landmark/stream
l075,Tunga,,Tunga,,,,geographical feature
l076,Vatnsfjörðarkirkja,,Vatnsfjörðarkirkja; Vatnsfjörðurkirkja,,,,church receiving the confirmation; in Vatnsfjörður (region)
l077,Vatnsfjörður,Q558911,Vatnsfjörður; Vatnsfjörðar; Vatnsfjörðr,65°33'10.908"N, 23°9'56.005"W,,the region where the church of Vatnsfjörður is located
l078,Viðey,,Viðey;Viðeyjarklaustur,64.16434695688541, -21.85472287871647, Iceland, the island where the church of Viðey is located,,"Dipl. Isl. III, 206; Dipl. Isl. III, 180; Dipl. Isl. III, 281"
l079,Víðivellir,,Víðivellir í Blönduhlíð
l082,location of church that has claims on Hnútstaðir,,
l094,Ásgeirsà,,Ásgeirsà Viðidalr (Hún.),,,,
l095,Ólofarpartar,,,
l096,Úlfsdalir in Fljót,,Úlfsdalir Fljót,,,, (unknown precise location)
l100,Þingeyrar Monastery,, Þingeyrum; Þingeyrar; Þingeyra; Þingeyrar; Þingeyrar (Hún.);,,,,monastery that own Giljá); where Abbot Arngrimr serves
l101,Þingvellir,Q107370,Þingvellir (assembly site); Þingvellir (assembly site in Blönduhlíð),64°15'29"N, 21°7'30"W,Iceland, the location of the Althing assembly site (medieval); QID is for the modern national park that encompasses the site but is the goegraphic location needed
l103,Þverá (Skagafjörður),,Munkaþvera; Munkþvera; associated estate); Þverá; Þverá (farm church); Þverá Skag.,,,
l104,Þórðarstaðir í Ólafsfjörður,,Þórðarstaðir í Ólafsfjörður,,,Iceland,(location of transaction)
l105,Kaupmannahöfn,Q16427805,Copenhagen; Kobenhavn,,,Denmark
l106,Edínaborg,Q2044399,Edinbirgh; Edinburgh,,Scotland
l107,Múnchen,Q27015172, Múnchen Munich München,,Germany
l108,Bremen,Q112013004, Brima; Bremensis; Bremen; Verden; Werden;Brima/Bremensis;Verden;Brimum;Brímum,,,Germany
l109,Turholt,Q112013041,Turholt,City,Western Francia,,Turholt Belgium; in modern west flanders,
l110,Sweden,Q34870868, Sverige; Sueonum; Sveorum; Sueonum/Sveorum; Svuenorum; Svuecia; Suecia,,,,medieval Sweden; the people and region [in latin] is Suenorum or Svenorum
l111,Greenland,Q223, Gronlondan;Gronlandon;Gronlondon,72°N, 40°W, Greenland
l112,Iceland,Q3740828,(Islandan/Islondon); Hislandicorum; Ísland; Island,65.029149219,-18.23674539, Iceland
l113,Scrideuindan,, (Scritobini/Skridfinnar),
l115,Wimodi,,Wimodiorum,,,,???
l116,Norblingi,,Norblingorum; Norse; Norsemen; Norwegian;Noregur,,,Norway, associated with the people and the area writ large
l117,Farria,Q4628,Farriae; Faroe; Faroe Islands,61°58'12"N, 6°50'40"W
l118,Stuttgart,Q1022, Stuttgart,48°46'39"N, 9°10'48"E,Germany
l119,Cologne,Q365,Coloniensis; Köln,50°56'32"N, 6°57'28"E,Germany, the city of Cologne (not the archbishopric or ecclesiastical authority); in North Rhine-Westphalia
l120,Roma,Q220,Rome; Róm,,,Italy, physical location of the CITY OF ROME (NOT the Papal See or the Papal authority/states)
l121,Stade,Q6949,Stade,,,Germany,Lower Saxony,
l122,Danorum,Q164714,Danmörk; Dania; Danorum,,,"the Danes", associated with the people and the area write large
l123,Sclauorum,Q40477,Slavic people (Slauorum);Slavonia; Slavorum,,,,name is associated with Kings of Slavonia but can be used to refer to the slavonic people and the region at large
l124,Halberstadt,Q7072,Halberstadt,,,Germany,in Harz district in the state of Saxony-Anhalt
l125,Hildesheim,Q3185, Hildesheim,,,Germany,Lower Saxony Germany
l126,Fulda,Q3963, Fulda; in Hesse,,,Germany,Hesse (state) Germany
l127,Hamburg,Q1055, Hamburg (Hammaburgensis); Hammaburgensis ecclesia; Hammaburg; Hamberg; Hammaburgensis; Hamaburg; Hamborg;Hamaburg/Hammaburg,65.218008333,-21.829836111, Germany
l165,Mainz,Q1720, Moguntina Mainz,,,,Rhineland-Palatinate; Mainz Germany,
l128,Reykjavík,Q1764,Reykjavik,64°8'51"N, 21°56'6"W,Iceland, the city of Reykjavík
l129,Oxford,Q34217,l'Oxfordshire;Oxoniense;Oxfordiense,51°45'N, 1°15'W,England, the city of Oxford (not the university or the county)
l130,Stockholm,Q1754,Stokkhólmur;Estocolmo;Tokholmi;Stokholm;Stocholmia;severne Benetke,59°19'46"N, 18°4'7"E,Sweden, the city
l118,Norðurlönd,Q52062,Nordics,,,,Geographic region
l131,Aquisgrani,Q1017,Aachen,50°46'34"N, 6°5'2"E,Germany, the city of Aachen (not the ecclesiastical authority or the region)
l132,London,Q84,Londinium;Lundúnum,51°30'26"N, 0°7'39"W,England, the city of London (not the ecclesiastical authority or the region)
l133,Corbie,,Corbeia;Corvey;Fürststift Corvey,51°46′44″N, 9°24′34″E,Germany, the Abbey of Corbie the once Princely Abbey
l134,Nordalbingia,Q495535,,,,Germany,one of four administrative regions of medieval Saxony (northwest) 
l135,Elbe,Q689718,Albia fluvius; Elbe; Albis; Albe; Albia fluvius,,,Germany, the river Elbe (Albia fluvius is the Latin name for the river)
l136,Western Francia,,,,,France, Region of Frankia 
l137,Triburia,Q634084,Tribur;Trebur,49°55'27"N, 8°24'33"E,Germany, the city of Trebur (seat of the Council of Trebur 895) 
l138,Pene,,Peenestromi,,,,Peene River in what is now Mecklenburg-Vorpommern (northeastern Germany); ca. 10th c. roughly the western edge of Slavic Polabian settlement (Wagria).
l139,Egidore,,Eider,,,,medieval border between Germany and Denmark; border of Wagria (medieval Slavic region)
l140,Hítardalur,Q13637113,Hítardalur; Hítardalr,64°49'59"N, 22°2'53"W, Iceland, the valley 
l141,Denmark,Q35,Danmörk; Dania; Danorum,56°N, 10°E,Denmark, the country
l142,Sámi,,Scrideuinnun;Scrideuinnun;Scritefinnis;Scritobini;Skridfinnar,,,,the Sámi people and the region they inhabit in northern Scandinavia and Russia
